GeneID,Symbol,Synonyms,chromosome,Ensembl,HGNC,MIM,type_of_gene
26,AOC1,ABP|ABP1|DAO|DAO1|KAO|KDAO,7,ENSG00000002726,HGNC:80,104610,protein-coding
27,ABL2,ABLL|ARG,1,ENSG00000143322,HGNC:77,164690,protein-coding
28,ABO,A3GALNT|A3GALT1|GTB|NAGAT,9,ENSG00000175164,HGNC:79,110300,protein-coding
29,ABR,MDB,17,ENSG00000159842,HGNC:81,600365,protein-coding
30,ACAA1,ACAA|Lnc-Myd88|PTHIO|THIO,3,ENSG00000060971,HGNC:82,604054,protein-coding
31,ACACA,ACAC|ACACAD|ACACalpha|ACC|ACC1|ACCA|ACCalpha|Acac1|hACC1,17,ENSG00000278540,HGNC:84,200350,protein-coding
32,ACACB,ACACbeta|ACC-beta|ACC2|ACCB|ACCbeta|HACC275,12,ENSG00000076555,HGNC:85,601557,protein-coding
33,ACADL,ACAD4|LCAD,2,ENSG00000115361,HGNC:88,609576,protein-coding
34,ACADM,ACAD1|MCAD|MCADH,1,ENSG00000117054,HGNC:89,607008,protein-coding
35,ACADS,ACAD3|SCAD,12,ENSG00000122971,HGNC:90,606885,protein-coding
36,ACADSB,2-MEBCAD|ACAD7|SBCAD,10,ENSG00000196177,HGNC:91,600301,protein-coding
37,ACADVL,ACAD6|LCACD|VLCAD,17,ENSG00000072778,HGNC:92,609575,protein-coding
38,ACAT1,ACAT|MAT|T2|THIL,11,ENSG00000075239,HGNC:93,607809,protein-coding
39,ACAT2,-,6,ENSG00000120437,HGNC:94,100678,protein-coding
40,ASIC2,ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1,17,ENSG00000108684,HGNC:99,601784,protein-coding
41,ASIC1,ACCN2|ASIC|BNaC2,12,ENSG00000110881,HGNC:100,602866,protein-coding
43,ACHE,ACEE|ARACHE|N-ACHE|YT,7,ENSG00000087085,HGNC:108,100740,protein-coding
47,ACLY,ACL|ATPCL|CLATP,17,ENSG00000131473,HGNC:115,108728,protein-coding
48,ACO1,ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1,9,ENSG00000122729,HGNC:117,100880,protein-coding
49,ACR,SPGF87,22,ENSG00000100312,HGNC:126,102480,protein-coding
50,ACO2,ACONM|HEL-S-284|ICRD|OCA8|OPA9,22,ENSG00000100412,HGNC:118,100850,protein-coding
51,ACOX1,ACOX|AOX|MITCH|PALMCOX|SCOX,17,ENSG00000161533,HGNC:119,609751,protein-coding
52,ACP1,HAAP|LMW-PTP|LMWPTP,2,ENSG00000143727,HGNC:122,171500,protein-coding
53,ACP2,LAP,11,ENSG00000134575,HGNC:123,171650,protein-coding
54,ACP5,HPAP|TRACP5a|TRACP5b|TRAP|TRAcP|TrATPase,19,ENSG00000102575,HGNC:124,171640,protein-coding
55,ACP3,5'-NT|ACP-3|ACPP|TM-PAP,3,ENSG00000014257,HGNC:125,171790,protein-coding
56,ACRV1,D11S4365|SP-10|SPACA2,11,ENSG00000134940,HGNC:127,102525,protein-coding
58,ACTA1,ACTA|ASMA|CFTD|CFTD1|CFTDM|CMYO2A|CMYO2B|CMYO2C|CMYP2A|CMYP2B|CMYP2C|MPFD|NEM1|NEM2|NEM3|SHPM,1,ENSG00000143632,HGNC:129,102610,protein-coding
59,ACTA2,ACTSA|SMDYS,10,ENSG00000107796,HGNC:130,102620,protein-coding
60,ACTB,BKRNS|BNS|BRWS1|CSMH|DDS1|PS1TP5BP1|THC8,7,ENSG00000075624,HGNC:132,102630,protein-coding
62,ACTBP2,-,5,,HGNC:135,,pseudo
63,ACTBP3,-,18,,HGNC:136,,pseudo
64,ACTBP4,-,5,,HGNC:137,,pseudo
66,ACTBP6,H8-PSI-BETA-AC3,8,,HGNC:139,,pseudo
67,ACTBP7,-,15,,HGNC:140,,pseudo
68,ACTBP8,ACTBP2,6,,HGNC:141,,pseudo
69,ACTBP9,-,18,,HGNC:142,,pseudo
70,ACTC1,ACTC|ASD5|CMD1R|CMH11|LVNC4,15,ENSG00000159251,HGNC:143,102540,protein-coding
71,ACTG1,ACT|ACTG|DFNA20|DFNA26|HEL-176,17,ENSG00000184009,HGNC:144,102560,protein-coding
72,ACTG2,ACT|ACTA3|ACTE|ACTL3|ACTSG|MMIHS5|VSCM|VSCM1,2,ENSG00000163017,HGNC:145,102545,protein-coding
73,ACTG1P1,ACT1GP1|ACTGP1|HY-psi-gamma-AC6,3,,HGNC:146,,pseudo
74,ACTG1P2,ACTGP2|ACTL2,Y,,HGNC:147,,pseudo
75,ACTG1P3,ACTGP3|dJ545L17.4,20,,HGNC:148,,pseudo
78,ACTG1P6,ACTGP6,1,,HGNC:151,,pseudo
79,ACTG1P7,ACTGP7,1,,HGNC:152,,pseudo
80,ACTG1P8,ACTGP8,1,,HGNC:153,,pseudo
81,ACTN4,ACTININ-4|FSGS|FSGS1,19,ENSG00000130402,HGNC:166,604638,protein-coding
82,ACTG1P9,ACTGP9,6,,HGNC:154,,pseudo
83,ACTG1P10,ACTGP10|ACTL1|ACTP1,X,,HGNC:155,,pseudo
86,ACTL6A,ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K|SMARCN1,3,ENSG00000136518,HGNC:24124,604958,protein-coding
87,ACTN1,BDPLT15,14,ENSG00000072110,HGNC:163,102575,protein-coding
88,ACTN2,CMD1AA|CMH23|CMYO8|CMYP8|MPD6|MYOCOZ,1,ENSG00000077522,HGNC:164,102573,protein-coding
89,ACTN3,ACTN3D,11,ENSG00000248746,HGNC:165,102574,protein-coding
90,ACVR1,ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI,2,ENSG00000115170,HGNC:171,102576,protein-coding
91,ACVR1B,ACTRIB|ACVRLK4|ALK4|SKR2,12,ENSG00000135503,HGNC:172,601300,protein-coding
92,ACVR2A,ACTRII|ACVR2,2,ENSG00000121989,HGNC:173,102581,protein-coding
93,ACVR2B,ACTRIIB|ActR-IIB|HTX4,3,ENSG00000114739,HGNC:174,602730,protein-coding
94,ACVRL1,ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I,12,ENSG00000139567,HGNC:175,601284,protein-coding
95,ACY1,ACY-1|ACY1D|HEL-S-5,3,ENSG00000243989,HGNC:177,104620,protein-coding
97,ACYP1,ACYPE,14,ENSG00000119640,HGNC:179,600875,protein-coding
98,ACYP2,ACYM|ACYP,2,ENSG00000170634,HGNC:180,102595,protein-coding
100,ADA,ADA1,20,ENSG00000196839,HGNC:186,608958,protein-coding
101,ADAM8,CD156|CD156a|MS2,10,ENSG00000151651,HGNC:215,602267,protein-coding
102,ADAM10,AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz,15,ENSG00000137845,HGNC:188,602192,protein-coding
103,ADAR,ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136,1,ENSG00000160710,HGNC:225,146920,protein-coding
104,ADARB1,ADAR2|DRABA2|DRADA2|NEDHYMS|RED1,21,ENSG00000197381,HGNC:226,601218,protein-coding
105,ADARB2,ADAR3|RED2,10,ENSG00000185736,HGNC:227,602065,protein-coding
106,ADCP1,-,6,,HGNC:229,,unknown
107,ADCY1,AC1|DFNB44,7,ENSG00000164742,HGNC:232,103072,protein-coding
108,ADCY2,AC2|HBAC2,5,ENSG00000078295,HGNC:233,103071,protein-coding
109,ADCY3,AC-III|AC3|BMIQ19,2,ENSG00000138031,HGNC:234,600291,protein-coding
111,ADCY5,AC5|DSKOD|FDFM,3,ENSG00000173175,HGNC:236,600293,protein-coding
112,ADCY6,AC6|LCCS8,12,ENSG00000174233,HGNC:237,600294,protein-coding
113,ADCY7,AC7,16,ENSG00000121281,HGNC:238,600385,protein-coding
114,ADCY8,AC8|ADCY3|HBAC1,8,ENSG00000155897,HGNC:239,103070,protein-coding
115,ADCY9,AC9|ACIX,16,ENSG00000162104,HGNC:240,603302,protein-coding
116,ADCYAP1,PACAP,18,ENSG00000141433,HGNC:241,102980,protein-coding
117,ADCYAP1R1,PAC1|PAC1R|PACAPR|PACAPRI,7,ENSG00000078549,HGNC:242,102981,protein-coding
118,ADD1,ADDA,4,ENSG00000087274,HGNC:243,102680,protein-coding
119,ADD2,ADDB,2,ENSG00000075340,HGNC:244,102681,protein-coding
120,ADD3,ADDL|CPSQ3,10,ENSG00000148700,HGNC:245,601568,protein-coding
122,ADFN,ALDS,X,,,300700,unknown
123,PLIN2,ADFP|ADRP,9,ENSG00000147872,HGNC:248,103195,protein-coding
124,ADH1A,ADH1,4,ENSG00000187758,HGNC:249,103700,protein-coding
125,ADH1B,ADH2|HEL-S-117,4,ENSG00000196616,HGNC:250,103720,protein-coding
126,ADH1C,ADH3,4,ENSG00000248144,HGNC:251,103730,protein-coding
127,ADH4,ADH-2|HEL-S-4,4,ENSG00000198099,HGNC:252,103740,protein-coding
128,ADH5,ADH-3|ADHX|AMEDS|BMFS7|FALDH|FDH|GSH-FDH|GSNOR|HEL-S-60p,4,ENSG00000197894,HGNC:253,103710,protein-coding
130,ADH6,ADH-5,4,ENSG00000172955,HGNC:255,103735,protein-coding
131,ADH7,ADH4,4,ENSG00000196344,HGNC:256,600086,protein-coding
132,ADK,AK,10,ENSG00000156110,HGNC:257,102750,protein-coding
133,ADM,AM|PAMP,11,ENSG00000148926,HGNC:259,103275,protein-coding
134,ADORA1,RDC7,1,ENSG00000163485,HGNC:262,102775,protein-coding
135,ADORA2A,A2aR|ADORA2|RDC8,22,ENSG00000128271,HGNC:263,102776,protein-coding
136,ADORA2B,ADORA2,17,ENSG00000170425,HGNC:264,600446,protein-coding
137,ADORA2BP1,ADORA2BP,1,,HGNC:265,,pseudo
140,ADORA3,A3AR,1,ENSG00000282608,HGNC:268,600445,protein-coding
141,ADPRH,ARH1|hARH1,3,ENSG00000144843,HGNC:269,603081,protein-coding
142,PARP1,ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PARS|PPOL|Poly-PARP|pADPRT-1,1,ENSG00000143799,HGNC:270,173870,protein-coding
143,PARP4,ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193,13,ENSG00000102699,HGNC:271,607519,protein-coding
144,PARP1P1,ADPRTP1|PPOLP1,13,ENSG00000227105,HGNC:275,,pseudo
145,PARP1P2,ADPRTP2|PPOLP2,14,,HGNC:276,,pseudo
146,ADRA1D,ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2,20,ENSG00000171873,HGNC:280,104219,protein-coding
147,ADRA1B,ADRA1|ALPHA1BAR,5,ENSG00000170214,HGNC:278,104220,protein-coding
148,ADRA1A,ADRA1C|ADRA1L1|ALPHA1AAR,8,ENSG00000120907,HGNC:277,104221,protein-coding
150,ADRA2A,ADRA2|ADRA2R|ADRAR|ALPHA2AAR|FPLD8|ZNF32,10,ENSG00000150594,HGNC:281,104210,protein-coding
151,ADRA2B,ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|FAME2|alpha-2BAR,2,ENSG00000274286,HGNC:282,104260,protein-coding
152,ADRA2C,ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR,4,ENSG00000184160,HGNC:283,104250,protein-coding
153,ADRB1,ADRB1R|B1AR|BETA1AR|FNSS2|RHR,10,ENSG00000043591,HGNC:285,109630,protein-coding
154,ADRB2,ADRB2R|ADRBR|ARB2|B2AR|BAR|BETA2AR,5,ENSG00000169252,HGNC:286,109690,protein-coding
155,ADRB3,BETA3AR,8,ENSG00000188778,HGNC:288,109691,protein-coding
156,GRK2,ADRBK1|BARK1|BETA-ARK1,11,ENSG00000173020,HGNC:289,109635,protein-coding
157,GRK3,ADRBK2|BARK2,22,ENSG00000100077,HGNC:290,109636,protein-coding
158,ADSL,AMPS|ASASE|ASL,22,ENSG00000239900,HGNC:291,608222,protein-coding
159,ADSS2,ADEH|ADSS|ADSS 2,1,ENSG00000035687,HGNC:292,103060,protein-coding
160,AP2A1,ADTAA|AP2-ALPHA|CLAPA1,19,ENSG00000196961,HGNC:561,601026,protein-coding
161,AP2A2,ADTAB|CLAPA2|HIP-9|HIP9|HYPJ,11,ENSG00000183020,HGNC:562,607242,protein-coding
162,AP1B1,ADTB1|AP105A|BAM22|CLAPB2|KIDAR,22,ENSG00000100280,HGNC:554,600157,protein-coding
163,AP2B1,ADTB2|AP105B|AP2-BETA|CLAPB1,17,ENSG00000006125,HGNC:563,601025,protein-coding
164,AP1G1,ADTG|CLAPG1|USRISD,16,ENSG00000166747,HGNC:555,603533,protein-coding
165,AEBP1,ACLP,7,ENSG00000106624,HGNC:303,602981,protein-coding
166,TLE5,AES|AES-1|AES-2|ESP1|GRG|GRG5|Grg-5,19,ENSG00000104964,HGNC:307,600188,protein-coding
167,CRISP1,AEGL1|ARP|CRISP-1|HEL-S-57|HSCRISP1D|HSCRISP1G|HUMARP,6,ENSG00000124812,HGNC:304,601193,protein-coding
169,AF8T,-,3,,,116950,unknown
170,AFA,-,-,,,106250,unknown
172,AFG3L1P,AFG3|AFG3L1,16,ENSG00000293510,HGNC:314,603020,pseudo
173,AFM,ALB2|ALBA|ALF,4,ENSG00000079557,HGNC:316,104145,protein-coding
174,AFP,AFPD|FETA|HPAFP,4,ENSG00000081051,HGNC:317,104150,protein-coding
175,AGA,AGU|ASRG|GA,4,ENSG00000038002,HGNC:318,613228,protein-coding
176,ACAN,AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK|SSOAOD,15,ENSG00000157766,HGNC:319,155760,protein-coding
177,AGER,RAGE|SCARJ1|sRAGE,6,ENSG00000204305,HGNC:320,600214,protein-coding
178,AGL,GDE,1,ENSG00000162688,HGNC:321,610860,protein-coding
181,AGRP,AGRT|ART|ASIP2,16,ENSG00000159723,HGNC:330,602311,protein-coding
182,JAG1,AGS|AGS1|AHD|AWS|CD339|CMT2HH|DCHE|HJ1|JAGL1,20,ENSG00000101384,HGNC:6188,601920,protein-coding
183,AGT,ANHU|SERPINA8|hFLT1,1,ENSG00000135744,HGNC:333,106150,protein-coding
185,AGTR1,AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|ATR1|HAT1R,3,ENSG00000144891,HGNC:336,106165,protein-coding
186,AGTR2,AT2|ATGR2|MRX88,X,ENSG00000180772,HGNC:338,300034,protein-coding
187,APLNR,AGTRL1|APJ|APJR|HG11,11,ENSG00000134817,HGNC:339,600052,protein-coding
189,AGXT,AGT|AGT1|AGXT1|PH1|SPAT|SPT|Ser-PyrAT|TLH6,2,ENSG00000172482,HGNC:341,604285,protein-coding
190,NR0B1,AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1|SRXY2,X,ENSG00000169297,HGNC:7960,300473,protein-coding
191,AHCY,SAHH|adoHcyase,20,ENSG00000101444,HGNC:343,180960,protein-coding
192,AIC,-,X,,,304050,unknown
196,AHR,FVH3|RP85|bHLHe76,7,ENSG00000106546,HGNC:348,600253,protein-coding
197,AHSG,A2HS|AHS|APMR1|FETUA|HSGA,3,ENSG00000145192,HGNC:349,138680,protein-coding
199,AIF1,AIF-1|IBA1|IRT-1|IRT1,6,ENSG00000204472,HGNC:352,601833,protein-coding
201,AIH3,-,X,,,301201,unknown
202,CRYBG1,AIM1|ST4,6,ENSG00000112297,HGNC:356,601797,protein-coding
203,AK1,ADK|Adk1|CNSHA3|HTL-S-58j,9,ENSG00000106992,HGNC:361,103000,protein-coding
204,AK2,ADK2,1,ENSG00000004455,HGNC:362,103020,protein-coding
205,AK4,AK 4|AK3|AK3L1|AK3L2,1,ENSG00000162433,HGNC:363,103030,protein-coding
206,AK4P1,AK3P1,17,,HGNC:364,,pseudo
207,AKT1,AKT|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA,14,ENSG00000142208,HGNC:391,164730,protein-coding
208,AKT2,HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA,19,ENSG00000105221,HGNC:392,164731,protein-coding
210,ALAD,ALADH|PBGS,9,ENSG00000148218,HGNC:395,125270,protein-coding
211,ALAS1,ALAS|ALAS-H|ALAS3|ALASH|MIG4,3,ENSG00000023330,HGNC:396,125290,protein-coding
212,ALAS2,ALAS-E|ALASE|ANH1|ASB|SIDBA1|XLDPP|XLEPP|XLSA,X,ENSG00000158578,HGNC:397,301300,protein-coding
213,ALB,FDAHT|HSA|PRO0883|PRO0903|PRO1341,4,ENSG00000163631,HGNC:399,103600,protein-coding
214,ALCAM,CD166|MEMD,3,ENSG00000170017,HGNC:400,601662,protein-coding
215,ABCD1,ABC42|ALD|ALDP|AMN,X,ENSG00000101986,HGNC:61,300371,protein-coding
216,ALDH1A1,ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1,9,ENSG00000165092,HGNC:402,100640,protein-coding
217,ALDH2,ALDH-E2|ALDHI|ALDM,12,ENSG00000111275,HGNC:404,100650,protein-coding
218,ALDH3A1,ALDH3|ALDHIII,17,ENSG00000108602,HGNC:405,100660,protein-coding
219,ALDH1B1,ALDH5|ALDHX,9,ENSG00000137124,HGNC:407,100670,protein-coding
220,ALDH1A3,ALDH1A6|ALDH6|MCOP8|RALDH3,15,ENSG00000184254,HGNC:409,600463,protein-coding
221,ALDH3B1,ALDH4|ALDH7,11,ENSG00000006534,HGNC:410,600466,protein-coding
222,ALDH3B2,ALDH8,11,ENSG00000132746,HGNC:411,601917,protein-coding
223,ALDH9A1,ALDH4|ALDH7|ALDH9|E3|TMABA-DH|TMABADH|TMABALDH,1,ENSG00000143149,HGNC:412,602733,protein-coding
224,ALDH3A2,ALDH10|FALDH|SLS,17,ENSG00000072210,HGNC:403,609523,protein-coding
225,ABCD2,ABC39|ALDL1|ALDR|ALDRP|hALDR,12,ENSG00000173208,HGNC:66,601081,protein-coding
226,ALDOA,ALDA|GSD12|HEL-S-87p,16,ENSG00000149925,HGNC:414,103850,protein-coding
228,ALDOAP2,-,10,,HGNC:416,,pseudo
229,ALDOB,ALDB|ALDO2,9,ENSG00000136872,HGNC:417,612724,protein-coding
230,ALDOC,ALDC,17,ENSG00000109107,HGNC:418,103870,protein-coding
231,AKR1B1,ADR|ALDR1|ALR2|AR,7,ENSG00000085662,HGNC:381,103880,protein-coding
236,AKR1B1P2,ALDRP,3,,HGNC:425,,pseudo
238,ALK,ALK1|CD246|NBLST3,2,ENSG00000171094,HGNC:427,105590,protein-coding
239,ALOX12,12-LOX|12S-LOX|LOG12,17,ENSG00000108839,HGNC:429,152391,protein-coding
240,ALOX5,5-LO|5-LOX|5LPG|LOG5,10,ENSG00000012779,HGNC:435,152390,protein-coding
241,ALOX5AP,FLAP,13,ENSG00000132965,HGNC:436,603700,protein-coding
242,ALOX12B,12R-LOX|ARCI2,17,ENSG00000179477,HGNC:430,603741,protein-coding
243,ALOX12P1,ALOX12P,17,,HGNC:431,,pseudo
245,ALOX12P2,ALOX12E,17,ENSG00000291084,HGNC:432,,pseudo
246,ALOX15,12-LOX|15-LOX|15-LOX-1|LOG15,17,ENSG00000161905,HGNC:433,152392,protein-coding
247,ALOX15B,15-LOX-2,17,ENSG00000179593,HGNC:434,603697,protein-coding
248,ALPI,IAP,2,ENSG00000163295,HGNC:437,171740,protein-coding
249,ALPL,AP-TNAP|APTNAP|HOPS|HPPA|HPPC|HPPI|HPPO|TNALP|TNAP|TNS-ALP|TNSALP,1,ENSG00000162551,HGNC:438,171760,protein-coding
250,ALPP,ALP|ALPI|IAP|PALP|PLAP|PLAP-1,2,ENSG00000163283,HGNC:439,171800,protein-coding
251,ALPG,ALPPL|ALPPL2|GCAP,2,ENSG00000163286,HGNC:441,171810,protein-coding
253,ALS3,ALS6,18,,,606640,unknown
257,ALX3,FND|FND1,1,ENSG00000156150,HGNC:449,606014,protein-coding
258,AMBN,AI1F,4,ENSG00000178522,HGNC:452,601259,protein-coding
259,AMBP,A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI,9,ENSG00000106927,HGNC:453,176870,protein-coding
262,AMD1,ADOMETDC|AMD|SAMDC,6,ENSG00000123505,HGNC:457,180980,protein-coding
263,AMD1P2,AMD|AMD2|AMDP1|AMDPX|AMDPY,X|Y,,HGNC:460,,pseudo
265,AMELX,AI1E|AIH1|ALGN|AMG|AMGL|AMGX,X,ENSG00000125363,HGNC:461,300391,protein-coding
266,AMELY,AMGL|AMGY,Y,ENSG00000099721,HGNC:462,410000,protein-coding
267,AMFR,GP78|RNF45|SPG89,16,ENSG00000159461,HGNC:463,603243,protein-coding
268,AMH,MIF|MIS,19,ENSG00000104899,HGNC:464,600957,protein-coding
269,AMHR2,AMHR|MISR2|MISRII|MRII,12,ENSG00000135409,HGNC:465,600956,protein-coding
270,AMPD1,MAD|MADA|MMDD,1,ENSG00000116748,HGNC:468,102770,protein-coding
271,AMPD2,AMPD|PCH9|SPG63,1,ENSG00000116337,HGNC:469,102771,protein-coding
272,AMPD3,-,11,ENSG00000133805,HGNC:470,102772,protein-coding
273,AMPH,AMPH1,7,ENSG00000078053,HGNC:471,600418,protein-coding
274,BIN1,AMPH2|AMPHL|CNM2|SH3P9,2,ENSG00000136717,HGNC:1052,601248,protein-coding
275,AMT,GCE|GCE2|GCST|GCVT|NKH,3,ENSG00000145020,HGNC:473,238310,protein-coding
276,AMY1A,AMY1,1,ENSG00000237763,HGNC:474,104700,protein-coding
277,AMY1B,AMY1,1,ENSG00000174876,HGNC:475,104701,protein-coding
278,AMY1C,AMY1,1,ENSG00000187733,HGNC:476,104702,protein-coding
279,AMY2A,AMY2|PA,1,ENSG00000243480,HGNC:477,104650,protein-coding
280,AMY2B,AMY2|AMY3|HXA,1,ENSG00000240038,HGNC:478,104660,protein-coding
281,AMYP1,AMY2P,1,ENSG00000227408,HGNC:479,,pseudo
282,ANCR,-,15,,HGNC:482,,other
283,ANG,ALS9|HEL168|RAA1|RNASE4|RNASE5,14,ENSG00000214274,HGNC:483,105850,protein-coding
284,ANGPT1,AGP1|AGPT|AGPT-1|ANG1|HAE5,8,ENSG00000154188,HGNC:484,601667,protein-coding
285,ANGPT2,AGPT2|ANG2|LMPHM10,8,ENSG00000091879,HGNC:485,601922,protein-coding
286,ANK1,ANK|SPH1|SPH2|ankyrin-1,8,ENSG00000029534,HGNC:492,612641,protein-coding
287,ANK2,ANK-2|CFAP87|FAP87|LQT4|brank-2,4,ENSG00000145362,HGNC:493,106410,protein-coding
288,ANK3,ANKYRIN-G|MRT37,10,ENSG00000151150,HGNC:494,600465,protein-coding
290,ANPEP,AP-M|AP-N|APN|CD13|GP150|LAP1|P150|PEPN|hAPN,15,ENSG00000166825,HGNC:500,151530,protein-coding
291,SLC25A4,AAC1|ANT|ANT 1|ANT1|MTDPS12|MTDPS12A|PEO2|PEO3|PEOA2|T1,4,ENSG00000151729,HGNC:10990,103220,protein-coding
292,SLC25A5,2F1|AAC2|ANT2|T2|T3,X,ENSG00000005022,HGNC:10991,300150,protein-coding
293,SLC25A6,AAC3|ANT|ANT 2|ANT 3|ANT3|ANT3Y,X|Y,ENSG00000292334,HGNC:10992,403000,protein-coding
301,ANXA1,ANX1|LPC1,9,ENSG00000135046,HGNC:533,151690,protein-coding
302,ANXA2,ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV,15,ENSG00000182718,HGNC:537,151740,protein-coding
303,ANXA2P1,ANX2L1|ANX2P1|LPC2A,4,,HGNC:538,,pseudo
304,ANXA2P2,ANX2L2|ANX2P2|LPC2B,9,,HGNC:539,,pseudo
305,ANXA2P3,ANX2L3|ANX2P3|LIP2|LPC2C,10,,HGNC:540,,pseudo
306,ANXA3,ANX3,4,ENSG00000138772,HGNC:541,106490,protein-coding
307,ANXA4,ANX4|HEL-S-274|P32.5|PAP-II|PIG28|PP4-X|ZAP36,2,ENSG00000196975,HGNC:542,106491,protein-coding
308,ANXA5,ANX5|CPB-I|ENX2|HEL-S-7|PP4|RPRGL3|VAC-alph,4,ENSG00000164111,HGNC:543,131230,protein-coding
309,ANXA6,ANX6|CBP68|CPB-II|p68|p70,5,ENSG00000197043,HGNC:544,114070,protein-coding
310,ANXA7,ANX7|SNX|SYNEXIN,10,ENSG00000138279,HGNC:545,186360,protein-coding
311,ANXA11,ALS23|ANX11|CAP-50|CAP50|IBMWMA,10,ENSG00000122359,HGNC:535,602572,protein-coding
312,ANXA13,ANX13|ISA,8,ENSG00000104537,HGNC:536,602573,protein-coding
313,AOAH,-,7,ENSG00000136250,HGNC:548,102593,protein-coding
314,AOC2,DAO2|RAO|SSAO,17,ENSG00000131480,HGNC:549,602268,protein-coding
316,AOX1,AO|AOH1,2,ENSG00000138356,HGNC:553,602841,protein-coding
317,APAF1,APAF-1|CED4,12,ENSG00000120868,HGNC:576,602233,protein-coding
318,NUDT2,APAH1|IDDPN,9,ENSG00000164978,HGNC:8049,602852,protein-coding
319,APOF,Apo-F|LTIP,12,ENSG00000175336,HGNC:615,107760,protein-coding
320,APBA1,D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA,9,ENSG00000107282,HGNC:578,602414,protein-coding
321,APBA2,D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L,15,ENSG00000034053,HGNC:579,602712,protein-coding
322,APBB1,FE65|MGC:9072|RIR,11,ENSG00000166313,HGNC:581,602709,protein-coding
323,APBB2,FE65L|FE65L1,4,ENSG00000163697,HGNC:582,602710,protein-coding
324,APC,BTPS2|DESMD|DP2|DP2.5|DP3|GS|PPP1R46,5,ENSG00000134982,HGNC:583,611731,protein-coding
